[DEBUGE]|[2024:4:3:18:7] NOT ALLOW REQUEST
[DEBUGE]|[2024:4:3:18:7] RESPONSE CODE = 400
[DEBUGE]|[2024:4:3:18:42] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:18:42] METHOD=GET,URI=/aaa9,VERSION=HTTP/1.1
[ERROR]|[2024:4:3:18:42] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:3:18:42] RESPONSE CODE = 404
[DEBUGE]|[2024:4:3:18:42] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:18:42] METHOD=GET,URI=/aab8,VERSION=HTTP/1.1
[ERROR]|[2024:4:3:18:42] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:3:18:42] RESPONSE CODE = 404
[DEBUGE]|[2024:4:3:18:42] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:18:42] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:18:42] NOT USE CGI------------------------
[DEBUGE]|[2024:4:3:18:42] RESPONSE CODE = 200
[DEBUGE]|[2024:4:3:19:47] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:19:47] METHOD=CONNECT,URI=193.149.189.126:7227,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:19:47] NOT ALLOW REQUEST
[DEBUGE]|[2024:4:3:19:47] RESPONSE CODE = 400
[DEBUGE]|[2024:4:3:22:27] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:22:27] METHOD=CONNECT,URI=185.65.245.140:7227,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:22:27] NOT ALLOW REQUEST
[DEBUGE]|[2024:4:3:22:27] RESPONSE CODE = 400
[DEBUGE]|[2024:4:3:23:28] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:23:28] METHOD=CONNECT,URI=google.com:443,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:23:28] NOT ALLOW REQUEST
[DEBUGE]|[2024:4:3:23:28] RESPONSE CODE = 400
[DEBUGE]|[2024:4:3:23:43] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:23:43] METHOD=CONNECT,URI=google.com:443,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:23:43] NOT ALLOW REQUEST
[DEBUGE]|[2024:4:3:23:43] RESPONSE CODE = 400
[DEBUGE]|[2024:4:4:2:27] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:4:3:25] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:4:3:25] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:4:3:25] NOT USE CGI------------------------
[DEBUGE]|[2024:4:4:3:25] RESPONSE CODE = 200
[DEBUGE]|[2024:4:4:3:36] GET A NEW LINK SOCK = 6
[DEBUGE]|[2024:4:4:3:36] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:4:3:36] NOT USE CGI------------------------
[DEBUGE]|[2024:4:4:3:36] RESPONSE CODE = 200
[DEBUGE]|[2024:4:4:3:57] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:4:3:57] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:4:3:57] NOT USE CGI------------------------
[DEBUGE]|[2024:4:4:3:57] RESPONSE CODE = 200
[DEBUGE]|[2024:4:4:3:57] GET A NEW LINK SOCK = 6
[WARING]|[2024:4:4:3:58] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:4:3:58] GET A NEW LINK SOCK = 5
[WARING]|[2024:4:4:3:58] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:4:3:58] GET A NEW LINK SOCK = 6
[WARING]|[2024:4:4:3:58] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:4:3:58] GET A NEW LINK SOCK = 5
[WARING]|[2024:4:4:3:58] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:4:3:58] GET A NEW LINK SOCK = 6
